model,accuracy,wins,win_rate,turns,air_shots,air_rate,shots,hit_rate_given_shot,times_targeted,eliminations
gemma2:2b,0.55,15,0.46875,48,25,0.5208333333333334,23,0.6956521739130435,11,16
mistral:7b,0.86,11,0.34375,23,4,0.17391304347826086,19,0.7894736842105263,19,15
llama3.2:3b,0.68,3,0.09375,29,2,0.06896551724137931,27,0.7407407407407407,26,20
qwen2.5:3b,0.78,3,0.09375,19,3,0.15789473684210525,16,0.8125,29,13
