shooter,target,target_count_total,opportunities_3alive,targeted_3alive,non_aggression_index_3alive
gemma2:2b,llama3.2:3b,9,16,0,1.0
gemma2:2b,mistral:7b,3,17,0,1.0
gemma2:2b,qwen2.5:3b,11,17,1,0.9411764705882353
llama3.2:3b,gemma2:2b,7,16,7,0.5625
llama3.2:3b,mistral:7b,4,16,1,0.9375
llama3.2:3b,qwen2.5:3b,16,16,16,0.0
mistral:7b,gemma2:2b,4,5,0,1.0
mistral:7b,llama3.2:3b,13,3,3,0.0
mistral:7b,qwen2.5:3b,2,2,2,0.0
qwen2.5:3b,gemma2:2b,0,9,0,1.0
qwen2.5:3b,llama3.2:3b,4,4,4,0.0
qwen2.5:3b,mistral:7b,12,11,8,0.2727272727272727
