model,accuracy,wins,win_rate,turns,air_shots,air_rate,shots,hit_rate_given_shot,times_targeted,eliminations
gemma2:2b,0.5,18,0.5625,55,24,0.43636363636363634,31,0.6129032258064516,8,19
mistral:7b,0.85,7,0.21875,17,2,0.11764705882352941,15,0.7333333333333333,21,11
llama3.2:3b,0.65,5,0.15625,33,4,0.12121212121212122,29,0.7586206896551724,28,22
qwen2.5:3b,0.75,2,0.0625,20,6,0.3,14,0.8571428571428571,32,12
